Team,Name,Rating,Position
CHE,Thibaut Courtois,86,GK
CHE,Branislav Ivanović,81,RB
CHE,Gary Cahill,81,CB
CHE,John Terry,83,CB
CHE,Azpilicueta,81,LB
CHE,Cesc Fàbregas,85,CM
CHE,Nemanja Matić,83,CD
CHE,Willian,82,RM
CHE,Eden Hazard,88,LM
CHE,Oscar,84,CA
CHE,Diego Costa,85,ST
CHE,Juan Cuadrado,82,RM
CHE,John Obi Mikel,78,CD
CHE,Filipe Luís,81,LB
CHE,Kurt Zouma,75,CB
CHE,Jamal Blackman,58,GK
CHE,Loïc Rémy,80,ST
CHE,Ramires,81,CD
CHE,Jeremie Boga,59,CA
CHE,Dominic Solanke,61,ST
CHE,Andreas Christensen,58,CB
CHE,Nathan Aké,67,LB
CHE,Tomáš Kalas,72,CB
CHE,Kasey Palmer,63,CA
CHE,Petr Čech,85,GK
CHE,Isaiah Brown,61,ST
CHE,Charly Musonda,58,CA
CHE,Ruben Loftus-Cheek,58,CM
CHE,Ola Aina,57,RB
CHE,Islam Feruz,57,ST
CHE,Alex Davey,55,CB
CHE,Tika Musonda,54,CD
CHE,Alex Kiwomya,51,RM
MCFC,Joe Hart,83,GK
MCFC,Pablo Zabaleta,83,RB
MCFC,Vincent Kompany,86,CB
MCFC,Martín Demichelis,79,CB
MCFC,Aleksandar Kolarov,78,LB
MCFC,Yaya Touré,85,CM
MCFC,Fernandinho,81,CM
MCFC,Jesús Navas,81,RM
MCFC,Samir Nasri,84,LM
MCFC,David Silva,87,CA
MCFC,Sergio Agüero,87,ST
MCFC,James Milner,79,RM
MCFC,Fernando,78,CD
MCFC,Bacary Sagna,79,RB
MCFC,Eliaquim Mangala,79,CB
MCFC,Willy Caballero,78,GK
MCFC,Edin Džeko,83,ST
MCFC,Wilfried Bony,81,ST
MCFC,Stevan Jovetić,81,ST
MCFC,Gaël Clichy,78,LB
MCFC,Dedryck Boyata,67,RB
MCFC,Pozo,63,CF
MCFC,Richard Wright,62,GK
MCFC,Brandon Barker,59,LM
MCFC,Angus Gunn,58,GK
MCFC,Thierry Ambrose,58,ST
MCFC,Bersant Celina,54,ST
MCFC,Adam Drury,57,RM
MCFC,Jack Byrne,54,CM
MCFC,Mathias Bossaerts,56,CB
MCFC,Olivier Ntcham,55,CM
MCFC,Ashley Smith-Brown,55,RB
MCFC,George Glendon,54,CM
MUFC,De Gea,86,GK
MUFC,Antonio Valencia,80,RM
MUFC,Chris Smalling,78,CB
MUFC,Marcos Rojo,79,CB
MUFC,Luke Shaw,75,LB
MUFC,Michael Carrick,79,CM
MUFC,Juan Mata,85,CA
MUFC,Ander Herrera,79,CM
MUFC,Marouane Fellaini,77,CM
MUFC,Ashley Young,78,LM
MUFC,Wayne Rooney,86,ST
MUFC,Ángel Di María,85,CA
MUFC,Daley Blind,79,CD
MUFC,Phil Jones,78,CB
MUFC,Tyler Blackett,65,CB
MUFC,Victor Valdés,83,GK
MUFC,Falcao,86,ST
MUFC,Robin van Persie,85,ST
MUFC,Anders Lindegaard,76,GK
MUFC,James Wilson,66,ST
MUFC,Adnan Januzaj,75,LM
MUFC,Jonny Evans,78,CB
MUFC,Rafael,76,RB
MUFC,Paddy McNair,61,CB
MUFC,Nick Powell,68,CA
MUFC,Ben Amos,65,GK
MUFC,Tom Thorpe,61,CB
MUFC,Andy Kellett,60,LW
MUFC,Andreas Pereira,59,CA
MUFC,Sadiq El-Fitouri,57,RB
MUFC,Joe Rothwell,49,CM
ARS,David Ospina,77,GK
ARS,Héctor Bellerín,68,RB
ARS,Per Mertesacker,82,CB
ARS,Laurent Koscielny,82,CB
ARS,Nacho Monreal,77,LB
ARS,Santi Cazorla,85,CA
ARS,Francis Coquelin,75,CD
ARS,Mesut Özil,86,CA
ARS,Aaron Ramsey,82,CM
ARS,Theo Walcott,80,RM
ARS,Alexis Sánchez,85,RW
ARS,Abou Diaby,75,CD
ARS,Olivier Giroud,80,ST
ARS,Jack Wilshere,81,CM
ARS,Alex Oxlade-Chamberlain,78,RM
ARS,Kieran Gibbs,77,LB
ARS,Gabriel,77,CB
ARS,Wojciech Szczęsny,78,GK
ARS,Danny Welbeck,78,ST
ARS,Tomáš Rosický,80,CA
ARS,Mathieu Debuchy,80,RB
ARS,Mikel Arteta,79,CD
ARS,Mathieu Flamini,75,CD
ARS,Calum Chambers,72,RB
ARS,Serge Gnabry,70,RM
ARS,Gedion Zelalem,63,CM
ARS,Krystian Bielik,60,CD
ARS,Josh Vickers,57,GK
ARS,Tafari Moore,56,RB
ARS,Julio Pleguezuelo,56,RB
ARS,Ryan Huddart,56,GK
ARS,Deyan Iliev,55,GK
ARS,Isaac Hayden,55,CB
LIV,Simon Mignolet,80,GK
LIV,Jordon Ibe,70,LW
LIV,Emre Can,73,CB
LIV,Martin Škrtel,80,CB
LIV,Mamadou Sakho,80,CB
LIV,Alberto Moreno,79,LW
LIV,Jordan Henderson,79,CM
LIV,Joe Allen,76,CM
LIV,Adam Lallana,80,CA
LIV,Raheem Sterling,80,CA
LIV,Coutinho,82,CA
LIV,Jon Flanagan,71,LB
LIV,Mario Balotelli,80,ST
LIV,Lucas Leiva,79,CD
LIV,Lazar Marković,78,RM
LIV,Dejan Lovren,79,CB
LIV,Kolo Touré,77,CB
LIV,Danny Ward,57,GK
LIV,Rickie Lambert,76,ST
LIV,Daniel Sturridge,83,ST
LIV,Fabio Borini,75,ST
LIV,Glen Johnson,75,RB
LIV,José Enrique,75,LB
LIV,Brad Jones,70,GK
LIV,Manquillo,69,RB
LIV,Samed Yesil,63,ST
LIV,Jordan Rossiter,60,CM
LIV,Harry Wilson,58,RW
LIV,Ryan McLaughlin,58,RB
LIV,Cameron Brannagan,58,CA
LIV,Jordan Williams,56,CD
LIV,Jerome Sinclair,55,ST
LIV,Brad Smith,54,LB
EVE,Tim Howard,79,GK
EVE,Séamus Coleman,80,RB
EVE,John Stones,75,CB
EVE,Phil Jagielka,80,CB
EVE,Leighton Baines,81,LB
EVE,James McCarthy,80,CD
EVE,Gareth Barry,79,CD
EVE,Ross Barkley,78,CA
